,Type,Dataset,Train Size,Validation Size,Test Size,Train F1,Train Recall,Train Precision,Train Accuracy,Validation F1,Validation Recall,Validation Precision,Validation Accuracy,Test F1,Test Recall,Test Precision,Test Accuracy,Params,Time
0,LR,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.8728713605630313,0.8205923101192028,0.9324369496185787,0.8205923101192028,0.8697289214603132,0.8160362107985775,0.9311599018771507,0.8160362107985775,0.866599519154182,0.8129528695094581,0.9283521662853992,0.8129528695094581,{'penalty': None},31
1,LR,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.6644105825840361,0.5076336401421105,0.9627670682018947,0.5076336401421105,0.6624217510415363,0.5050759780148723,0.9628324985976829,0.5050759780148723,0.6635104396018204,0.5058031420327027,0.9660668684802606,0.5058031420327028,{'penalty': 'l2'},10
2,LR,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.8365027672907233,0.8162439472709565,0.8624817500380568,0.8162439472709565,0.8359576064089301,0.8147429679922406,0.8628866497798511,0.8147429679922406,0.8345435112710864,0.8137223469060596,0.861634059629214,0.8137223469060596,{'penalty': 'l2'},3
3,LR,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.85730775849712,0.8309899727027064,0.8957031831939225,0.8309899727027064,0.8558758331337074,0.8287099903006789,0.8952545747717359,0.8287099903006789,0.8531628947850162,0.8257133696697659,0.8935361894025384,0.8257133696697659,{'penalty': None},8
4,LR,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.8636195964519712,0.846284687452847,0.8855622721158437,0.846284687452847,0.8623575137833513,0.8440349175557711,0.8855371427849292,0.8440349175557711,0.8571908487594816,0.8391792241102918,0.8807101514251433,0.8391792241102918,{'penalty': None},3
5,LR,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9210324233777997,0.9178200573380337,0.9254378871058805,0.9178200573380337,0.9218881704947075,0.9181377303588749,0.9271321842032565,0.9181377303588749,0.9205212883383492,0.9169605642834242,0.9254696379313384,0.9169605642834242,{'penalty': 'l2'},6
6,LR,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9306020664659148,0.9271889274495548,0.9362939591093051,0.9271889274495548,0.9313962452993326,0.9269317814419658,0.9384753661208977,0.9269317814419658,0.928973549573406,0.9256813081115742,0.9347718791153512,0.9256813081115742,{'penalty': 'l2'},8
7,LR,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.8670833227281899,0.8406469047063826,0.9061004251845892,0.8406469047063826,0.8660001665068311,0.8392499191723246,0.9065644038393524,0.8392499191723246,0.8615636668919019,0.8339211285668483,0.9034676238201174,0.8339211285668483,{'penalty': 'l2'},3
8,KNN,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.986581186050037,0.9864856126737795,0.9867412663183133,0.9864856126737795,0.9842893395430129,0.9841615902532863,0.9844960921655707,0.9841615902532863,"{'n_neighbors': 3, 'weights': 'distance'}",36
9,KNN,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9805155695826125,0.9803427093436793,0.9808157267088525,0.9803427093436793,0.978339569536396,0.978069894196858,0.9787777694523729,0.978069894196858,"{'n_neighbors': 11, 'weights': 'distance'}",0
10,KNN,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.974836670298655,0.974652440995797,0.9751097712739487,0.974652440995797,0.9725275871855504,0.9723629368387303,0.9727250696974967,0.9723629368387303,"{'n_neighbors': 3, 'weights': 'distance'}",1
11,KNN,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9842349281300793,0.9840931134820563,0.9845203211305957,0.9840931134820563,0.9817328129313058,0.9815325424815646,0.9820049710405365,0.9815325424815646,"{'n_neighbors': 3, 'weights': 'distance'}",31
12,KNN,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9884841363389201,0.9884254768832849,0.988577672007732,0.9884254768832849,0.9856294944894668,0.9855081756973388,0.9857746276959911,0.9855081756973388,"{'n_neighbors': 3, 'weights': 'distance'}",0
13,KNN,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9919528470838251,0.9919172324603944,0.9920095761493136,0.9919172324603944,0.9904313030156777,0.9903815325424815,0.9904937268920693,0.9903815325424815,"{'n_neighbors': 3, 'weights': 'distance'}",31
14,KNN,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9870081784562363,0.9869382476559974,0.987105576526409,0.9869382476559974,0.9863643339779601,0.9862776530939403,0.9864973616849573,0.9862776530939403,"{'n_neighbors': 3, 'weights': 'distance'}",0
15,KNN,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9995756855665047,0.9995747657782472,0.9995786704997756,0.9995747657782472,0.9909795478278798,0.990882638215325,0.9911157318950858,0.990882638215325,0.9906877475667025,0.9907021481243988,0.9906787803950271,0.9907021481243988,"{'n_neighbors': 3, 'weights': 'distance'}",35
16,RF,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9995887986051719,0.999588483011207,0.9995893604617613,0.999588483011207,0.9955746536017205,0.9954736501778209,0.9957725522447771,0.9954736501778209,0.9950773809620893,0.9948701506893235,0.9954163287352596,0.9948701506893235,"{'criterion': 'log_loss', 'max_depth': None}",11
17,RF,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.9324871205091698,0.9288761471036062,0.9484787597195783,0.9288761471036062,0.9319401904006588,0.9279017135467184,0.948541227349726,0.9279017135467184,0.9333587170701898,0.9298493106764989,0.9485016651311929,0.9298493106764989,"{'criterion': 'log_loss', 'max_depth': None}",9
18,RF,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.999232569475859,0.999231834954253,0.9992341212550032,0.999231834954253,0.9798946838503914,0.9795667636598772,0.9803498193170198,0.9795667636598772,0.9778847188029018,0.9774927861494068,0.9784300607421317,0.9774927861494068,"{'criterion': 'log_loss', 'max_depth': None}",42
19,RF,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9989468660657752,0.9989437730620979,0.9989540682661795,0.9989437730620979,0.9941786480636322,0.9940510830908503,0.9943889336599775,0.9940510830908503,0.9935192964133778,0.9933311958961205,0.9938253401144908,0.9933311958961205,"{'criterion': 'entropy', 'max_depth': 20}",8
20,RF,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9989870178092126,0.9989849247609772,0.9989920377979277,0.9989849247609772,0.9895484650129489,0.9893954089880375,0.9898136641703954,0.9893954089880375,0.9875400043244867,0.9873036229560757,0.9879258630293477,0.9873036229560757,"{'criterion': 'log_loss', 'max_depth': 20}",37
21,RF,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9989745084700616,0.9989712075280175,0.9989827985939509,0.9989712075280175,0.9943746589759938,0.9942450695118008,0.9946013930062186,0.9942450695118008,0.9933589048953507,0.9931388265469702,0.9936983698601395,0.9931388265469702,"{'criterion': 'log_loss', 'max_depth': 20}",9
22,RF,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9995888752250648,0.999588483011207,0.999589648683816,0.999588483011207,0.995571614788112,0.9954736501778209,0.9957572339921729,0.9954736501778209,0.9947554185819683,0.9946136582237897,0.995016706326736,0.9946136582237897,"{'criterion': 'log_loss', 'max_depth': None}",11
23,RF,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9988616435774327,0.9988614696643393,0.9988618579819477,0.9988614696643393,0.9883998112315758,0.9881668283220174,0.9887744693301579,0.9881668283220174,0.9869633066428334,0.9867265149086245,0.9873124975829998,0.9867265149086245,"{'criterion': 'log_loss', 'max_depth': 20}",38
